"FLIR_ID_Date","photo_type","date","site"
"FLIR2071_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2073_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2075_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2077_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2079_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2081_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2083_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2085_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2087_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2089_2024-07","transect",2024-07-09,"Tryon-Weber"
"FLIR2091_2024-07","transect",2024-07-09,"Tryon-Weber"
